word,freq
per,13
supported,13
shameful,13
interest,13
extra,13
pointing,13
animal,13
cnn,13
drive,13
debate,13
liked,13
promised,13
golden,13
smh,13
mother,13
classy,13
sucks,13
whitehouse,13
deplorable,13
county,13
kettle,13
reasons,13
build,13
heartless,13
rightful,13
approval,13
gotta,13
later,13
turning,13
victim,13
prior,13
focusing,13
spot,13
break,13
tells,13
countrys,12
policy,12
james,12
joy,12
grown,12
possibly,12
remembering,12
mister,12
laughingstock,12
smiling,12
computer,12
greater,12
arrested,12
rifle,12
private,12
drop,12
date,12
hostile,12
display,12
jealousy,12
bob,12
planning,12
process,12
surprised,12
bluewave,12
dangerous,12
jobs,12
complicit,12
rants,12
challenge,12
poll,12
wanna,12
cost,12
sadly,12
articulate,12
language,12
mrpresident,12
minded,12
absorbed,12
armed,12
late,12
channel,12
excellent,12
closing,12
twice,12
hadnt,12
choke,12
russianindictments,12
allowing,12
form,12
caring,12
red,12
investigations,12
storm,12
morals,12
scum,12
angry,12
enjoying,12
writing,12
attending,12
deny,12
hat,12
simple,12
visit,12
hurting,12
born,12
adam,12
mar,12
division,12
manchild,12
based,12
massive,12
honored,12
disturbed,12
personally,12
conclusion,12
accomplishments,12
trumpresign,12
mature,12
fixed,12
investigated,12
effort,12
uses,12
accepted,12
remind,12
disgust,12
turd,12
claim,12
english,12
pro,12
continued,12
banks,12
survivors,12
empty,12
filled,12
food,12
considered,12
bye,12
blow,12
third,12
march,11
pressure,11
accountable,11
information,11
bite,11
hit,11
model,11
criticism,11
thumb,11
wethepeople,11
press,11
serving,11
hacking,11
buck,11
hospital,11
spoiled,11
idiotic,11
bury,11
bashing,11
legal,11
dipshit,11
danger,11
present,11
toddler,11
warned,11
sanction,11
repeat,11
ivanka,11
ironic,11
toilet,11
hot,11
whiny,11
punk,11
dump,11
punish,11
supporter,11
nuts,11
ruining,11
selling,11
stuck,11
fallen,11
cat,11
nope,11
officially,11
spell,11
mirrors,11
regarding,11
sexist,11
inauguration,11
incapable,11
pretending,11
easily,11
building,11
professional,11
complaining,11
latest,11
points,11
peace,11
modern,11
cell,11
theyll,11
demise,11
cyber,11
tape,11
deserves,11
supremacist,11
patriot,11
gods,11
status,11
ugh,11
blamed,11
community,11
nightmare,11
suggestion,11
egotistical,11
rights,11
broken,11
cool,11
according,11
nasty,11
patriots,11
letting,11
clueless,11
neither,11
solve,11
grip,11
discussion,11
lower,11
rule,11
israel,11
enact,11
gross,11
basis,11
kid,11
fans,11
imstillwithher,11
share,11
ineffective,11
cheater,11
losers,11
donaldtrump,11
healthcare,11
host,11
charged,11
supporting,11
thin,11
idiotinchief,11
company,11
petulant,11
repeal,11
smell,11
financial,11
unfitforoffice,11
celebration,11
deals,11
kept,11
meant,11
club,11
laughable,11
opposite,11
dream,11
fellow,11
holy,11
secret,11
suffer,11
meanwhile,11
itll,11
education,11
cronies,11
incompetence,11
bother,11
bars,10
beginning,10
minds,10
youth,10
image,10
idiots,10
trumprussiaconspiracy,10
unavailable,10
roll,10
theyve,10
note,10
rating,10
conference,10
educated,10
stooge,10
priorities,10
briefings,10
results,10
competent,10
cash,10
include,10
wecallbs,10
guncontrol,10
mcconnell,10
victory,10
covered,10
fund,10
notice,10
supports,10
bankruptcies,10
unbelievable,10
hating,10
lowest,10
lucky,10
protection,10
wisdom,10
attempt,10
loan,10
ideas,10
style,10
thrown,10
vocabulary,10
built,10
bloated,10
brains,10
pocket,10
included,10
brave,10
teach,10
reflects,10
cowardly,10
shell,10
stroke,10
snowflake,10
accounts,10
event,10
referring,10
demand,10
accomplished,10
dementia,10
value,10
dreams,10
appears,10
apart,10
distraction,10
belittle,10
played,10
thus,10
sane,10
reports,10
basic,10
interests,10
comfort,10
appear,10
cold,10
confident,10
feels,10
saved,10
bot,10
decide,10
recent,10
christian,10
lago,10
slaughtered,10
arrogant,10
program,10
acted,10
fragile,10
appropriate,10
episode,10
obsessed,10
drain,10
hello,10
typical,10
france,10
extremely,10
unpresidential,10
desperately,10
msm,10
buying,10
vacation,10
grieving,10
admin,10
believed,10
greed,10
flip,10
pictures,10
shoot,10
destroyed,10
screaming,10
certain,10
illegals,10
court,10
terrorist,10
stood,10
beloved,10
near,10
resigned,10
streets,10
spelling,10
giant,10
buchanan,10
january,10
traits,10
despite,10
ruin,10
values,10
creepy,10
possessive,10
room,10
soros,10
embarrass,10
adulterer,10
blue,10
league,10
trumpy,10
taxpayer,9
kinda,9
street,9
student,9
houses,9
repeatedly,9
denied,9
felt,9
seconds,9
officials,9
morally,9
excuses,9
filibustered,9
accomplish,9
prayer,9
teenagers,9
bus,9
counsel,9
impossible,9
toast,9
spread,9
basics,9
shine,9
shoes,9
following,9
taxpayers,9
confused,9
rex,9
sports,9
undo,9
defense,9
celebrity,9
gain,9
wheres,9
collude,9
impact,9
vlad,9
space,9
oops,9
unable,9
popularity,9
floridaschoolshooting,9
criticizing,9
broke,9
approved,9
karma,9
chump,9
publicly,9
throughout,9
decision,9
behalf,9
lame,9
wind,9
punctuation,9
hollywood,9
falling,9
counting,9
socalled,9
mike,9
bringing,9
walked,9
crowd,9
stated,9
trouble,9
fantastic,9
threats,9
maralago,9
irans,9
